source,row,task,before_url,after_url,decision
Завершенные_задачи__Асфальт__,41905,Ямы и выбоины в асфальтобетонном покрытии (Проезд),https://ckkb-mos.online/storage/uploads/images/10645/141934/5593974/pZfkof26Vh2h.jpg,https://ckkb-mos.online/storage/uploads/task_attaches/10645/924230/HuejJO.jpeg,good
Завершенные_задачи__Асфальт__,7296,Ямы и выбоины в асфальтобетонном покрытии (Проезжая часть),https://ckkb-mos.online/storage/uploads/images/10645/133692/5644436/m05IWbQnRUl1.jpg,https://ckkb-mos.online/storage/uploads/task_attaches/10645/1095517/YpkOkn.jpeg,good
Завершенные_задачи__Асфальт__,1639,Ямы и выбоины в асфальтобетонном покрытии (Тротуар),https://ckkb-mos.online/storage/uploads/images/10645/128999/5681565/QJDDjrjYjwbl.jpg,https://ckkb-mos.online/storage/uploads/task_attaches/10645/1257366/2v77vD.jpg,good
Завершенные_задачи__Асфальт__,18024,Ямы и выбоины в асфальтобетонном покрытии (Отмостка),https://ckkb-mos.online/storage/uploads/images/10645/123883/5687823/lz6CiaeLgMkV.jpg,https://ckkb-mos.online/storage/uploads/task_attaches/10645/1286923/mMrXIE.jpg,good
Завершенные_задачи__Асфальт__,16049,Ямы и выбоины в асфальтобетонном покрытии (Проезжая часть),https://ckkb-mos.online/storage/uploads/images/10645/116513/5606678/mq3jtseTqElq.jpg,https://ckkb-mos.online/storage/uploads/task_attaches/10645/951855/dHYOwe.jpeg,good
Завершенные_задачи__Асфальт__,14628,Ямы и выбоины в асфальтобетонном покрытии (Проезжая часть),https://ckkb-mos.online/storage/uploads/images/10645/134352/5609210/XraRzOomrMNa.jpg,https://ckkb-mos.online/storage/uploads/task_attaches/10645/962998/3jFknK.jpeg,good
Завершенные_задачи__Асфальт__,9144,Ямы и выбоины в асфальтобетонном покрытии (Проезжая часть),https://ckkb-mos.online/storage/uploads/images/10645/114493/5637383/rvd5fjh03j5o.jpg,https://ckkb-mos.online/storage/uploads/task_attaches/10645/1058717/9rPhAU.jpg,good
Завершенные_задачи__Асфальт__,6717,Ямы и выбоины в асфальтобетонном покрытии (Проезжая часть),https://ckkb-mos.online/storage/uploads/images/10645/133669/5650508/zHjg6lzU1AAM.jpg,https://ckkb-mos.online/storage/uploads/task_attaches/10645/1111577/0wZur2.jpeg,good
Завершенные_задачи__Асфальт__,35741,Ямы и выбоины в асфальтобетонном покрытии (Проезд),https://ckkb-mos.online/storage/uploads/images/10645/112512/5620216/f8KxgMlEvGyl.jpg,https://ckkb-mos.online/storage/uploads/task_attaches/10645/993847/In1A0m.jpeg,good
Завершенные_задачи__Асфальт__,5697,Ямы и выбоины в асфальтобетонном покрытии (Тротуар),https://ckkb-mos.online/storage/uploads/images/10645/132490/5653565/VELdwgAiz77C.jpg,https://ckkb-mos.online/storage/uploads/task_attaches/10645/1132867/f1VfjM.jpeg,good
Завершенные_задачи__Асфальт__,38698,Ямы и выбоины в асфальтобетонном покрытии (Гостевая парковка),https://ckkb-mos.online/storage/uploads/images/10645/128188/5607118/n6ChPY1sAP98.jpg,https://ckkb-mos.online/storage/uploads/task_attaches/10645/953655/FCbUvY.jpg,good
Завершенные_задачи__Асфальт__,27651,Ямы и выбоины в асфальтобетонном покрытии (Тротуар),https://ckkb-mos.online/storage/uploads/images/10645/121947/5655103/lBEnGrhDhsaX.jpg,https://ckkb-mos.online/storage/uploads/task_attaches/10645/1134693/ephwq9.jpg,good
Завершенные_задачи__Асфальт__,2082,Ямы и выбоины в асфальтобетонном покрытии (Проезжая часть),https://ckkb-mos.online/storage/uploads/images/10645/116393/5679183/DtRmj5mAqIQF.jpg,https://ckkb-mos.online/storage/uploads/task_attaches/10645/1245620/1IifjJ.jpeg,good
Завершенные_задачи__Асфальт__,1952,Ямы и выбоины в асфальтобетонном покрытии (Тротуар),https://ckkb-mos.online/storage/uploads/images/10645/111327/5680189/GspfhuP8qVmF.jpg,https://ckkb-mos.online/storage/uploads/task_attaches/10645/1248637/c8CvWB.jpg,good
Завершенные_задачи__Асфальт__,6140,Ямы и выбоины в асфальтобетонном покрытии (Тротуар),https://ckkb-mos.online/storage/uploads/images/10645/111392/5652391/Z86Urd3lysMV.jpg,https://ckkb-mos.online/storage/uploads/task_attaches/10645/1127292/3PupV7.jpeg,good
