path_before,path_after,label
E:\KOSHKIN_DOM\image_cache\8f2275c279c7c1604b5f4a3d8e9c79ee.jpg,E:\KOSHKIN_DOM\image_cache\d572df656076a8d45df030b7d3fb7d32.jpg,1
E:\KOSHKIN_DOM\image_cache\27c2d7884ad767a9b361249bdf010026.jpg,E:\KOSHKIN_DOM\image_cache\1761d1d06f560f2ff632a1e0a073e264.jpg,1
E:\KOSHKIN_DOM\image_cache\22a44a903c8bab571ea06631b4c0e734.jpg,E:\KOSHKIN_DOM\image_cache\0d818ed4bd31f1445a6287ba093b4b32.jpg,1
E:\KOSHKIN_DOM\image_cache\54eaffa0faad69ea8613e3047abc1f43.jpg,E:\KOSHKIN_DOM\image_cache\3a80e0f3be73c69a3b5ada884d09e8e6.jpeg,0
E:\KOSHKIN_DOM\image_cache\04370562af51fed166d481d57561c227.jpg,E:\KOSHKIN_DOM\image_cache\9e479ff629daf715e37cbd5229f80e75.jpeg,1
E:\KOSHKIN_DOM\image_cache\0208ef70f1944f7eb7b4669caac9171b.jpg,E:\KOSHKIN_DOM\image_cache\6d3bbf1a7c9ba3cf32ac68e8474afffc.jpg,0
E:\KOSHKIN_DOM\image_cache\526d0c910a108b094d8b9f838edd793a.jpg,E:\KOSHKIN_DOM\image_cache\7ea18123cdaf7a011e1814d75ba980a7.jpeg,0
E:\KOSHKIN_DOM\image_cache\22a44a903c8bab571ea06631b4c0e734.jpg,E:\KOSHKIN_DOM\image_cache\95118e55240b8a7b1b701ce2c57ce65d.jpg,0
E:\KOSHKIN_DOM\image_cache\f3b078858dc48bf6355f3deeeca2e69e.jpg,E:\KOSHKIN_DOM\image_cache\2a6ade6af2764b46a91421ff58422766.jpg,1
E:\KOSHKIN_DOM\image_cache\5263aa7aca07d622b325dd6c2b8c5a21.jpg,E:\KOSHKIN_DOM\image_cache\c01d6edefea9fd94b956d09bfc5cbd3a.png,1
E:\KOSHKIN_DOM\image_cache\3f84d82332b85bb5dcfbb742ae38bea2.jpg,E:\KOSHKIN_DOM\image_cache\975de2ec03b708dbcbea295880b95204.jpeg,1
E:\KOSHKIN_DOM\image_cache\5e7b369081d8505745b1b416de1474eb.jpg,E:\KOSHKIN_DOM\image_cache\2f63b16bab35a3609ac9e07ece5a1e88.jpg,1
E:\KOSHKIN_DOM\image_cache\e98e1cf125b5ce91af55118ec2a62d89.jpg,E:\KOSHKIN_DOM\image_cache\278eca79bd149591764504a94592e218.jpeg,0
E:\KOSHKIN_DOM\image_cache\813f754d1395ee79075be5759e8fca18.jpg,E:\KOSHKIN_DOM\image_cache\28963a87928829557b3593288e37a118.jpg,0
E:\KOSHKIN_DOM\image_cache\ae9f2fdbf974abc2d2a23166d709ec1e.jpg,E:\KOSHKIN_DOM\image_cache\dad4e5fae4886fff2d287f5c37eba887.jpeg,1
E:\KOSHKIN_DOM\image_cache\d1b09781fa0234754e1ca0e08b1f0e6a.jpg,E:\KOSHKIN_DOM\image_cache\1cc9d78db07b7cb4a142b395091d36ab.jpg,0
E:\KOSHKIN_DOM\image_cache\913a5256a405133e64997351aefa3201.jpg,E:\KOSHKIN_DOM\image_cache\939ee35a467497477612f7283a1b7b00.jpg,1
E:\KOSHKIN_DOM\image_cache\04a42e110a4870734a7c239d9ca65ffb.jpg,E:\KOSHKIN_DOM\image_cache\d40d1242a595c0d0ec541f533d132896.png,0
E:\KOSHKIN_DOM\image_cache\ddbbbd8097bc7e0050b5294609905395.jpg,E:\KOSHKIN_DOM\image_cache\30f2dfbf82a45ba362c3be2c78c6fd5b.jpeg,0
