path_before,path_after,label,synthetic,category,task
E:\KOSHKIN_DOM\image_cache\4a563b0ac7d43acc4804d77d75dc903f.jpg,E:\KOSHKIN_DOM\image_cache\3d47ab62d799ec5fbfc599e4357a5d64.jpeg,1,0,curb,
E:\KOSHKIN_DOM\image_cache\5c6205fa610a9d4fc5e5aa75275b936f.jpg,E:\KOSHKIN_DOM\image_cache\0b952111aa06081df90a7651b5251765.jpeg,1,0,curb,
E:\KOSHKIN_DOM\image_cache\743da68118da96f653484783dd924c4c.jpg,E:\KOSHKIN_DOM\image_cache\743da68118da96f653484783dd924c4c.jpg,0,1,curb,
E:\KOSHKIN_DOM\image_cache\f79c10b469d84fe135a38daa2e48aab6.jpg,E:\KOSHKIN_DOM\image_cache\5749bcade300d7a7e6c203961fc9baec.jpg,1,0,curb,
E:\KOSHKIN_DOM\image_cache\79ef800e0eb77eacb2e6e261816cbbd1.jpg,E:\KOSHKIN_DOM\image_cache\79ef800e0eb77eacb2e6e261816cbbd1.jpg,0,1,curb,
E:\KOSHKIN_DOM\image_cache\d690d653d59a49170a2f89429020fa0d.jpg,E:\KOSHKIN_DOM\image_cache\d690d653d59a49170a2f89429020fa0d.jpg,0,1,curb,
E:\KOSHKIN_DOM\image_cache\fd5e5e8a25925e6b517c42d050907548.jpg,E:\KOSHKIN_DOM\image_cache\fd5e5e8a25925e6b517c42d050907548.jpg,0,1,curb,
E:\KOSHKIN_DOM\image_cache\6fc8838996d240537ccc4e1b7813ed70.jpg,E:\KOSHKIN_DOM\image_cache\6fc8838996d240537ccc4e1b7813ed70.jpg,0,1,curb,
E:\KOSHKIN_DOM\image_cache\8fceafb9f8c6d54ec0150f820ed14a39.jpg,E:\KOSHKIN_DOM\image_cache\3c61dac1d2e808495289cf642de619d2.jpeg,1,0,curb,
E:\KOSHKIN_DOM\image_cache\69ba8435fd5c6f9e59a9feaf3d5595e1.jpg,E:\KOSHKIN_DOM\image_cache\69ba8435fd5c6f9e59a9feaf3d5595e1.jpg,0,1,curb,
E:\KOSHKIN_DOM\image_cache\18a2f22698014355b1d8bfbcb349a56f.jpg,E:\KOSHKIN_DOM\image_cache\18a2f22698014355b1d8bfbcb349a56f.jpg,0,1,curb,
E:\KOSHKIN_DOM\image_cache\85c559a70f10e98300285a2cb133aa77.jpg,E:\KOSHKIN_DOM\image_cache\840153d14ad892593022b149c054c341.jpg,1,0,curb,
