path_before,path_after,label,synthetic,category,task
E:\KOSHKIN_DOM\image_cache\bda706d1343dcfa5aa966ebb3206ab5d.jpg,E:\KOSHKIN_DOM\image_cache\bda706d1343dcfa5aa966ebb3206ab5d.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\09fab58b1620abb78d285aaee6cfffda.jpg,E:\KOSHKIN_DOM\image_cache\78e45e80dfc5f41b08ac5548198a6a00.jpg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\552789973a4cf112bbbd65043a479643.jpg,E:\KOSHKIN_DOM\image_cache\552789973a4cf112bbbd65043a479643.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\412dce31f9267a2e15d9e1dac868dd11.jpg,E:\KOSHKIN_DOM\image_cache\532bc54942ca627e96f83e62ebc59c53.jpg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\76f4f8322a76f2bc4b3c13f5659c3a39.jpg,E:\KOSHKIN_DOM\image_cache\e5eacbc8c3d862e90f55b08a3d4de069.png,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\d97b18e93132eeb5aded8e790208f0ce.jpg,E:\KOSHKIN_DOM\image_cache\e755992cb88cb208420c37704e622f9d.jpeg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\f4f323b9b3cd3ee92b98709ae5a8b7fc.jpg,E:\KOSHKIN_DOM\image_cache\f4f323b9b3cd3ee92b98709ae5a8b7fc.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\c52d89130e36c32e243e97f3d0f96aad.jpg,E:\KOSHKIN_DOM\image_cache\ec4935c053867cfa879be6b5de00ef5d.png,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\39615c587c918125d2f3812553dc2df4.jpg,E:\KOSHKIN_DOM\image_cache\dc645f6ab18e2f72c1e57805d039402d.jpeg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\a23f48fdce97bc919862c637ef04cc99.jpg,E:\KOSHKIN_DOM\image_cache\34891845dec4f61172a2456c60741528.jpg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\72e261cc04a7fdba686d276c1def28a5.jpg,E:\KOSHKIN_DOM\image_cache\72e261cc04a7fdba686d276c1def28a5.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\e5a3df8fb6b473e2881174ab2ee815e1.jpg,E:\KOSHKIN_DOM\image_cache\e5a3df8fb6b473e2881174ab2ee815e1.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\03e2c83994399fafbcc0ffa6f53f2101.jpg,E:\KOSHKIN_DOM\image_cache\03e2c83994399fafbcc0ffa6f53f2101.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\a800e1fae6825e0918bcf2373f9be4fe.jpg,E:\KOSHKIN_DOM\image_cache\a7b6e521d18e1998cc0a863500f1c6b1.jpg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\944e6ee181959d28883ea7e38d53daf7.jpg,E:\KOSHKIN_DOM\image_cache\d60f03afecdd06e800cafd41cc79c045.jpeg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\fb8e64bf079fbae797ff48a0820f6855.jpg,E:\KOSHKIN_DOM\image_cache\fb8e64bf079fbae797ff48a0820f6855.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\664ca4446a2e481983f8d7fbc9a59253.jpg,E:\KOSHKIN_DOM\image_cache\036af3fd4f9a94f2bf2968c10a9b0fdc.jpeg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\046a464a08e0d51ed728b60dff73ecc1.jpg,E:\KOSHKIN_DOM\image_cache\84b44fa799b2fc2791712232b7d1d627.jpeg,1,0,lawn,
E:\KOSHKIN_DOM\image_cache\580e80a273d714134c1ed62f8753db79.jpg,E:\KOSHKIN_DOM\image_cache\580e80a273d714134c1ed62f8753db79.jpg,0,1,lawn,
E:\KOSHKIN_DOM\image_cache\c8f0db4c858db94cf1bcdf820ce9d2bd.jpg,E:\KOSHKIN_DOM\image_cache\ecb5c262675ebe75e0f68bdf7c41648a.jpeg,1,0,lawn,
