epoch,train_loss,train_acc,val_loss,val_acc,val_precision,val_recall,val_f1,val_auc,val_tp,val_fp,val_fn,val_tn,lr,time_sec
1,0.3171944742808271,0.8521320495185695,0.12918402101768142,0.9539769884942472,0.9441997063142438,0.9649824912456229,0.954477981197427,0.010310307730153179,1929,114,70,1885,9.755282581475769e-05,185.2769854068756
2,0.11793238956681994,0.9585469551081656,0.09616535995574878,0.9637318659329664,0.9734422880490297,0.9534767383691846,0.963356077836745,0.006000999499249371,1906,52,93,1947,9.045084971874737e-05,169.54181432724
3,0.07059251232571388,0.9753657621608103,0.10430769130714301,0.9647323661830915,0.964964964964965,0.9644822411205602,0.9647235426569927,0.007483982111115561,1928,70,71,1929,7.938926261462366e-05,169.13327932357788
4,0.04675793397984863,0.9834938101788171,0.11055101181057586,0.965232616308154,0.9663991975927784,0.9639819909954978,0.9651890808915602,0.007160408618516412,1927,67,72,1932,6.545084971874737e-05,169.20082187652588
5,0.033276856479668104,0.987995498311867,0.11709966128873729,0.9619809904952477,0.948954788526981,0.976488244122061,0.9625246548323471,0.005902150675137441,1952,105,47,1894,4.9999999999999996e-05,169.10605192184448
6,0.02252049955535737,0.9919969988745779,0.11150100347578988,0.9629814907453726,0.9588497768963807,0.9674837418709354,0.9631474103585657,0.005934432949341151,1934,83,65,1916,3.454915028125263e-05,168.51996564865112
7,0.013616635626621243,0.9957484056521195,0.11466023324149707,0.9662331165582791,0.9573110893032385,0.9759879939969985,0.9665593262323507,0.005745243807496525,1951,87,48,1912,2.0610737385376345e-05,176.2641303539276
8,0.00941029852633797,0.9970613980242591,0.11930460711729607,0.9647323661830915,0.95361328125,0.9769884942471235,0.9651593773165307,0.0054379365770929056,1953,95,46,1904,9.549150281252631e-06,175.8164358139038
9,0.0067783391981365735,0.9981868200575216,0.1175031606250048,0.9684842421210605,0.9652260307998013,0.9719859929964982,0.968594217347956,0.005595093694921505,1943,70,56,1929,2.447174185242323e-06,168.28489542007446
10,0.005287979532614219,0.9986870076278604,0.11443088859973802,0.968984492246123,0.966650074664012,0.9714857428714357,0.969061876247505,0.005497245871560086,1942,67,57,1932,0.0,171.6299033164978
